Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 20:57:16 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_32_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |    RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
|         q                            |                Queue_4_413 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_14                      |              contQueue_362 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_412 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_15                      |              contQueue_363 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_411 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_16                      |              contQueue_364 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_410 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_17                      |              contQueue_365 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_409 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_18                      |              contQueue_366 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
