
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[ 38561558 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 256, nodes processed = 940000
[ 38971180 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 950000
[ 39375198 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 960000
[ 39780730 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 970000
[ 40178966 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 980000
[ 40580396 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 990000
[ 40984788 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1000000
[ 41389372 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1010000
[ 41782054 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1020000
[ 42190140 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 4, delay = 256, nodes processed = 1030000
[ 42590420 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1040000
[ 42986662 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1050000
[ 43386150 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1060000
[ 43778902 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1070000
[ 44180858 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1080000
[ 44583802 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1090000
[ 44975916 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1100000
[ 45374230 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1110000
[ 45776200 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1120000
[ 46172454 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1130000
[ 46572770 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1140000
[ 46972798 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1150000
[ 47371430 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1160000
[ 47776542 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1170000
[ 48181042 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1180000
[ 48590152 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1190000
[ 48991578 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1200000
[ 49399674 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1210000
[ 49803024 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1220000
[ 50208060 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1230000
[ 50605918 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1240000
[ 51002790 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1250000
[ 51402078 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1260000
[ 51798354 ns] [top.task_PE_18] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1270000
[ 52199290 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1280000
[ 52591994 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1290000
[ 52994260 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1300000
[ 53392232 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1310000
[ 53788454 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 256, nodes processed = 1320000
[ 54187386 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1330000
[ 54594866 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1340000
[ 54989640 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1350000
[ 55389922 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1360000
[ 55799638 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1370000
[ 56202964 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1380000
[ 56610120 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1390000
[ 57010994 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1400000
[ 57418452 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1410000
[ 57824086 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1420000
[ 58223410 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1430000
[ 58625762 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1440000
[ 59024730 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1450000
[ 59431184 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1460000
[ 59836582 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1470000
[ 60238714 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1480000
[ 60638568 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1490000
[ 61034334 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1500000
[ 61434684 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1510000
[ 61830494 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1520000
[ 62228180 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1530000
[ 62621530 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1540000
[ 63027542 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1550000
[ 63429798 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1560000
[ 63838074 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1570000
[ 64237478 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1580000
[ 64638330 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1590000
[ 65042810 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1600000
[ 65446100 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1610000
[ 65849126 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1620000
[ 66251130 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1630000
[ 66649960 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1640000
[ 67048798 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1650000
[ 67442504 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1660000
[ 67837154 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1670000
[ 68232538 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1680000
[ 68633812 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1690000
[ 69024104 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1700000
[ 69418846 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1710000
[ 69812028 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1720000
[ 70215334 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1730000
[ 70612254 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1740000
[ 71014226 ns] [top.task_PE_18] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1750000
[ 71430416 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1760000
[ 71824726 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1770000
[ 72219002 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1780000
[ 72618270 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1790000
[ 73015010 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1800000
[ 73415430 ns] [top.task_PE_5] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1810000
[ 73820008 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1820000
[ 74221946 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1830000
[ 74627378 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1840000
[ 75025274 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1850000
[ 75428730 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1860000
[ 75827110 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1870000
[ 76237662 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1880000
[ 76646686 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1890000
[ 77049182 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1900000
[ 77446994 ns] [top.task_PE_18] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1910000
[ 77845254 ns] [top.task_PE_5] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1920000
[ 78243674 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 1930000
[ 78643486 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1940000
[ 79039714 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1950000
[ 79435014 ns] [top.task_PE_5] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1960000
[ 79835990 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 256, nodes processed = 1970000
[ 80229214 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1980000
[ 80623910 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 1990000
[ 81017210 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2000000
[ 81419030 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2010000
[ 81820030 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2020000
[ 82212200 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2030000
[ 82606920 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2040000
[ 83010938 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2050000
[ 83406096 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2060000
[ 83800406 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2070000
[ 84199774 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2080000
[ 84594974 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2090000
[ 84987770 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 256, nodes processed = 2100000
[ 85382430 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2110000
[ 85781882 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 256, nodes processed = 2120000
