
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[    32654 us] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 822519
[ 32946998 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 256, index = 0, nodes processed = 829976
[ 33240646 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 837461
[ 33531020 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 844816
[ 33822242 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 852114
[ 34114132 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 859487
[ 34406756 ns] [top.task_PE_12] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 866965
[ 34700688 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 874474
[ 34993154 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 881880
[ 35287480 ns] [top.task_PE_8] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 889454
[ 35580148 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 896881
[ 35871686 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 904258
[ 36165292 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 911786
[ 36456798 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 0, nodes processed = 919119
[ 36748512 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 926532
[ 37041902 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 934021
[ 37335064 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 941479
[ 37627626 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 256, index = 1, nodes processed = 948909
[ 37919832 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 956333
[ 38214228 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 963879
[ 38507672 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 256, index = 0, nodes processed = 971371
