
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[ 19877962 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 970000
[ 20079646 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 980000
[ 20280368 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 3, delay = 128, nodes processed = 990000
[ 20480306 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1000000
[ 20680614 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 1010000
[ 20879120 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1020000
[ 21079346 ns] [top.task_PE_9] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1030000
[ 21278768 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 1040000
[ 21478974 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1050000
[ 21679152 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1060000
[ 21879640 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 1070000
[ 22080482 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1080000
[ 22285266 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1090000
[ 22487156 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1100000
[ 22693212 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1110000
[ 22893374 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1120000
[ 23097436 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 1130000
[ 23295698 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1140000
[ 23500350 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1150000
[ 23701138 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1160000
[ 23900082 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1170000
[ 24097628 ns] [top.task_PE_19] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1180000
[ 24301328 ns] [top.task_PE_6] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 128, nodes processed = 1190000
[ 24503600 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1200000
[ 24706676 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1210000
[ 24913500 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 128, nodes processed = 1220000
