
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[108182970 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 0, nodes processed = 680361
[109356410 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 687851
[110534604 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 695479
[111710346 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 703025
[112888134 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 710590
[114060190 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 0, nodes processed = 718037
[115231280 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 725444
[116394820 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 732793
[117562422 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 740205
[118730082 ns] [top.task_PE_20] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 0, nodes processed = 747662
[119901612 ns] [top.task_PE_22] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 2, nodes processed = 755094
[121077378 ns] [top.task_PE_1] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 0, nodes processed = 762610
[122246956 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 770073
[123420814 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 777574
[124590220 ns] [top.task_PE_3] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 785004
