Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 21:29:02 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
|       stealServers_3                 |             stealServer_30 |   660(0.05%) |   660(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_4                 |             stealServer_31 |   654(0.05%) |   654(0.05%) |    0(0.00%) | 0(0.00%) |   587(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_5                 |             stealServer_32 |   657(0.05%) |   657(0.05%) |    0(0.00%) | 0(0.00%) |   589(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_6                 |             stealServer_33 |   655(0.05%) |   655(0.05%) |    0(0.00%) | 0(0.00%) |   589(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_7                 |             stealServer_34 |   657(0.05%) |   657(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_0                   |                   hw_deque |   220(0.02%) |   220(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_0)               |                   hw_deque |    76(0.01%) |    76(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_54 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_55 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_55 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__4 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
